Product Name,Price
"Apple iPhone 7 (Black, 32 GB)","₹26,999"
"Apple iPhone 7 Plus (Black, 32 GB)","₹31,999"
"Apple iPhone 7 Plus (Rose Gold, 32 GB)","₹31,999"
"Apple iPhone 7 (Gold, 32 GB)","₹26,999"
"Apple iPhone 7 (Rose Gold, 32 GB)","₹26,999"
"Apple iPhone 8 (Space Grey, 64 GB)","₹35,999"
"Apple iPhone 7 Plus (Silver, 32 GB)","₹31,999"
"Apple iPhone 8 (Gold, 64 GB)","₹35,999"
"Apple iPhone 8 (Silver, 64 GB)","₹35,999"
"Apple iPhone 6s (Space Grey, 32 GB)","₹23,999"
"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)","₹1,23,900"
"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","₹1,09,900"
"Apple iPhone 11 Pro (Midnight Green, 64 GB)","₹99,900"
"Apple iPhone XR (White, 64 GB)","₹50,900"
"Apple iPhone 6s (Gold, 32 GB)","₹25,890"
"Apple iPhone 11 Pro (Silver, 256 GB)","₹1,13,900"
"Apple iPhone 6s (Rose Gold, 32 GB)","₹25,399"
"Apple iPhone 6s (Silver, 32 GB)","₹23,999"
"Apple iPhone XR (Black, 64 GB)","₹49,900"
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹50,005"
"Apple iPhone 11 Pro Max (Gold, 256 GB)","₹1,23,900"
"Apple iPhone XR (Black, 128 GB)","₹55,999"
"Apple iPhone 11 Pro (Gold, 512 GB)","₹1,31,900"
"Apple iPhone XR (White, 128 GB)","₹55,849"
